"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FC Barcelona ","FC Barcelona","34","34","23,8","12","561,10 Mill. €","16,50 Mill. €",2010
"2","Real Madrid ","Real Madrid","38","38","23,3","16","506,90 Mill. €","13,34 Mill. €",2010
"3","Sevilla FC ","Sevilla FC","35","35","24,4","19","225,15 Mill. €","6,43 Mill. €",2010
"4","Atlético Madrid ","Atlético Madrid","30","30","24,1","10","196,60 Mill. €","6,55 Mill. €",2010
"5","Valencia CF ","Valencia CF","32","32","25,4","13","178,10 Mill. €","5,57 Mill. €",2010
"6","Villarreal CF ","Villarreal CF","34","34","24,3","13","145,10 Mill. €","4,27 Mill. €",2010
"7","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","98,30 Mill. €","3,28 Mill. €",2010
"8","Málaga CF ","Málaga CF","37","37","25,5","18","82,60 Mill. €","2,23 Mill. €",2010
"9","Deportivo de La Coruna ","Deportivo de La Coruna","33","33","25,5","10","74,35 Mill. €","2,25 Mill. €",2010
"10","Getafe CF ","Getafe CF","29","29","24,4","7","68,60 Mill. €","2,37 Mill. €",2010
"11","Real Zaragoza ","Real Zaragoza","30","30","25,1","16","67,00 Mill. €","2,23 Mill. €",2010
"12","CA Osasuna ","CA Osasuna","29","29","27,1","6","66,55 Mill. €","2,29 Mill. €",2010
"13","UD Almería ","UD Almería","29","29","24,9","16","64,35 Mill. €","2,22 Mill. €",2010
"14","Racing Santander ","Racing Santander","30","30","25,0","12","62,35 Mill. €","2,08 Mill. €",2010
"15","Hércules CF  ","Hércules CF","32","32","25,8","12","61,55 Mill. €","1,92 Mill. €",2010
"16","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","35","35","23,3","11","61,10 Mill. €","1,75 Mill. €",2010
"17","Sporting Gijón ","Sporting Gijón","33","33","24,8","5","57,60 Mill. €","1,75 Mill. €",2010
"18","RCD Mallorca ","RCD Mallorca","27","27","25,1","13","54,23 Mill. €","2,01 Mill. €",2010
"19","Real Sociedad  ","Real Sociedad","26","26","24,8","6","43,50 Mill. €","1,67 Mill. €",2010
"20","Levante UD  ","Levante UD","33","33","25,7","7","27,30 Mill. €","827 Th. €",2010
"21","FC Barcelona ","FC Barcelona","34","34","23,8","12","561,10 Mill. €","16,50 Mill. €",2010
"22","Real Madrid ","Real Madrid","38","38","23,3","16","506,90 Mill. €","13,34 Mill. €",2010
"23","Sevilla FC ","Sevilla FC","35","35","24,4","19","225,15 Mill. €","6,43 Mill. €",2010
"24","Atlético Madrid ","Atlético Madrid","30","30","24,1","10","196,60 Mill. €","6,55 Mill. €",2010
"25","Valencia CF ","Valencia CF","32","32","25,4","13","178,10 Mill. €","5,57 Mill. €",2010
"26","Villarreal CF ","Villarreal CF","34","34","24,3","13","145,10 Mill. €","4,27 Mill. €",2010
"27","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","98,30 Mill. €","3,28 Mill. €",2010
"28","Málaga CF ","Málaga CF","37","37","25,5","18","82,60 Mill. €","2,23 Mill. €",2010
"29","Deportivo de La Coruna ","Deportivo de La Coruna","33","33","25,5","10","74,35 Mill. €","2,25 Mill. €",2010
"30","Getafe CF ","Getafe CF","29","29","24,4","7","68,60 Mill. €","2,37 Mill. €",2010
"31","Real Zaragoza ","Real Zaragoza","30","30","25,1","16","67,00 Mill. €","2,23 Mill. €",2010
"32","CA Osasuna ","CA Osasuna","29","29","27,1","6","66,55 Mill. €","2,29 Mill. €",2010
"33","UD Almería ","UD Almería","29","29","24,9","16","64,35 Mill. €","2,22 Mill. €",2010
"34","Racing Santander ","Racing Santander","30","30","25,0","12","62,35 Mill. €","2,08 Mill. €",2010
"35","Hércules CF  ","Hércules CF","32","32","25,8","12","61,55 Mill. €","1,92 Mill. €",2010
"36","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","35","35","23,3","11","61,10 Mill. €","1,75 Mill. €",2010
"37","Sporting Gijón ","Sporting Gijón","33","33","24,8","5","57,60 Mill. €","1,75 Mill. €",2010
"38","RCD Mallorca ","RCD Mallorca","27","27","25,1","13","54,23 Mill. €","2,01 Mill. €",2010
"39","Real Sociedad  ","Real Sociedad","26","26","24,8","6","43,50 Mill. €","1,67 Mill. €",2010
"40","Levante UD  ","Levante UD","33","33","25,7","7","27,30 Mill. €","827 Th. €",2010
"41","FC Barcelona ","FC Barcelona","35","35","23,9","11","621,50 Mill. €","17,76 Mill. €",2011
"42","Real Madrid ","Real Madrid","32","32","23,7","16","525,20 Mill. €","16,41 Mill. €",2011
"43","Atlético Madrid ","Atlético Madrid","33","33","23,8","15","202,10 Mill. €","6,12 Mill. €",2011
"44","Valencia CF ","Valencia CF","27","27","24,9","13","169,90 Mill. €","6,29 Mill. €",2011
"45","Villarreal CF ","Villarreal CF","34","34","24,4","12","149,95 Mill. €","4,41 Mill. €",2011
"46","Sevilla FC ","Sevilla FC","32","32","24,4","14","145,50 Mill. €","4,55 Mill. €",2011
"47","Málaga CF ","Málaga CF","32","32","26,0","18","128,20 Mill. €","4,01 Mill. €",2011
"48","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","114,70 Mill. €","3,82 Mill. €",2011
"49","Getafe CF ","Getafe CF","31","31","25,9","6","79,50 Mill. €","2,56 Mill. €",2011
"50","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","34","34","23,4","16","74,60 Mill. €","2,19 Mill. €",2011
"51","Real Zaragoza ","Real Zaragoza","31","31","25,5","15","72,50 Mill. €","2,34 Mill. €",2011
"52","Real Sociedad ","Real Sociedad","25","25","24,4","8","70,00 Mill. €","2,80 Mill. €",2011
"53","RCD Mallorca ","RCD Mallorca","31","31","23,9","13","61,10 Mill. €","1,97 Mill. €",2011
"54","Granada CF  ","Granada CF","28","28","26,5","13","51,70 Mill. €","1,85 Mill. €",2011
"55","Sporting Gijón ","Sporting Gijón","31","31","25,3","8","49,75 Mill. €","1,60 Mill. €",2011
"56","Real Betis Balompié  ","Real Betis Balompié","33","33","25,3","6","46,70 Mill. €","1,42 Mill. €",2011
"57","Racing Santander ","Racing Santander","34","34","23,6","9","43,60 Mill. €","1,28 Mill. €",2011
"58","Levante UD ","Levante UD","31","31","27,1","8","41,60 Mill. €","1,34 Mill. €",2011
"59","CA Osasuna ","CA Osasuna","32","32","26,1","8","40,35 Mill. €","1,26 Mill. €",2011
"60","Rayo Vallecano  ","Rayo Vallecano","34","34","25,3","6","34,00 Mill. €","1,00 Mill. €",2011
"61","FC Barcelona ","FC Barcelona","27","27","25,2","9","621,00 Mill. €","23,00 Mill. €",2012
"62","Real Madrid ","Real Madrid","33","33","24,5","18","593,50 Mill. €","17,98 Mill. €",2012
"63","Atlético Madrid ","Atlético Madrid","27","27","24,3","13","177,50 Mill. €","6,57 Mill. €",2012
"64","Valencia CF ","Valencia CF","27","27","24,6","14","171,20 Mill. €","6,34 Mill. €",2012
"65","Sevilla FC ","Sevilla FC","31","31","24,3","13","134,10 Mill. €","4,33 Mill. €",2012
"66","Athletic Bilbao ","Athletic Bilbao","29","29","23,2","2","117,60 Mill. €","4,06 Mill. €",2012
"67","Málaga CF ","Málaga CF","33","33","25,8","21","111,30 Mill. €","3,37 Mill. €",2012
"68","Granada CF ","Granada CF","29","29","26,2","14","77,70 Mill. €","2,68 Mill. €",2012
"69","Getafe CF ","Getafe CF","28","28","26,0","5","70,70 Mill. €","2,53 Mill. €",2012
"70","Real Sociedad ","Real Sociedad","22","22","24,7","6","69,00 Mill. €","3,14 Mill. €",2012
"71","RCD Mallorca ","RCD Mallorca","32","32","24,5","13","59,85 Mill. €","1,87 Mill. €",2012
"72","Deportivo de La Coruna  ","Deportivo de La Coruna","29","29","27,7","15","59,30 Mill. €","2,04 Mill. €",2012
"73","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","27","27","24,9","12","58,90 Mill. €","2,18 Mill. €",2012
"74","Real Betis Balompié ","Real Betis Balompié","33","33","24,8","8","51,40 Mill. €","1,56 Mill. €",2012
"75","Levante UD ","Levante UD","31","31","27,2","14","51,35 Mill. €","1,66 Mill. €",2012
"76","Real Zaragoza ","Real Zaragoza","34","34","25,1","12","50,05 Mill. €","1,47 Mill. €",2012
"77","CA Osasuna ","CA Osasuna","30","30","26,9","6","46,40 Mill. €","1,55 Mill. €",2012
"78","Rayo Vallecano ","Rayo Vallecano","34","34","25,9","8","41,70 Mill. €","1,23 Mill. €",2012
"79","Celta de Vigo  ","Celta de Vigo","29","29","25,4","10","36,95 Mill. €","1,27 Mill. €",2012
"80","Real Valladolid CF  ","Real Valladolid CF","24","24","25,8","8","23,85 Mill. €","994 Th. €",2012
"81","FC Barcelona ","FC Barcelona","32","32","24,8","12","620,35 Mill. €","19,39 Mill. €",2013
"82","Real Madrid ","Real Madrid","34","34","24,0","16","606,60 Mill. €","17,84 Mill. €",2013
"83","Atlético Madrid ","Atlético Madrid","36","36","23,9","17","262,10 Mill. €","7,28 Mill. €",2013
"84","Valencia CF ","Valencia CF","37","37","24,3","20","180,65 Mill. €","4,88 Mill. €",2013
"85","Sevilla FC ","Sevilla FC","43","43","23,8","22","147,10 Mill. €","3,42 Mill. €",2013
"86","Real Sociedad ","Real Sociedad","32","32","24,7","7","116,10 Mill. €","3,63 Mill. €",2013
"87","Athletic Bilbao ","Athletic Bilbao","29","29","24,7","1","115,10 Mill. €","3,97 Mill. €",2013
"88","Granada CF ","Granada CF","40","40","24,6","25","70,75 Mill. €","1,77 Mill. €",2013
"89","Real Betis Balompié ","Real Betis Balompié","43","43","23,7","12","69,00 Mill. €","1,60 Mill. €",2013
"90","Getafe CF ","Getafe CF","32","32","26,0","6","65,10 Mill. €","2,03 Mill. €",2013
"91","Málaga CF ","Málaga CF","31","31","25,0","21","64,88 Mill. €","2,09 Mill. €",2013
"92","Villarreal CF  ","Villarreal CF","28","28","23,5","10","62,80 Mill. €","2,24 Mill. €",2013
"93","Celta de Vigo ","Celta de Vigo","31","31","24,7","8","56,00 Mill. €","1,81 Mill. €",2013
"94","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","28","28","24,6","10","55,70 Mill. €","1,99 Mill. €",2013
"95","Elche CF  ","Elche CF","35","35","25,7","8","53,30 Mill. €","1,52 Mill. €",2013
"96","Levante UD ","Levante UD","34","34","26,6","14","45,90 Mill. €","1,35 Mill. €",2013
"97","CA Osasuna ","CA Osasuna","31","31","25,9","7","44,30 Mill. €","1,43 Mill. €",2013
"98","Rayo Vallecano ","Rayo Vallecano","32","32","24,5","10","43,85 Mill. €","1,37 Mill. €",2013
"99","Real Valladolid CF ","Real Valladolid CF","26","26","26,7","13","40,88 Mill. €","1,57 Mill. €",2013
"100","UD Almería  ","UD Almería","31","31","25,7","12","33,80 Mill. €","1,09 Mill. €",2013
"101","Real Madrid ","Real Madrid","41","41","23,3","19","647,65 Mill. €","15,80 Mill. €",2014
"102","FC Barcelona ","FC Barcelona","31","31","24,4","16","598,45 Mill. €","19,30 Mill. €",2014
"103","Atlético Madrid ","Atlético Madrid","32","32","24,7","16","289,00 Mill. €","9,03 Mill. €",2014
"104","Valencia CF ","Valencia CF","26","26","23,1","13","137,30 Mill. €","5,28 Mill. €",2014
"105","Sevilla FC ","Sevilla FC","34","34","24,7","15","122,65 Mill. €","3,61 Mill. €",2014
"106","Athletic Bilbao ","Athletic Bilbao","27","27","25,2","1","110,50 Mill. €","4,09 Mill. €",2014
"107","Real Sociedad ","Real Sociedad","30","30","24,6","5","107,30 Mill. €","3,58 Mill. €",2014
"108","Villarreal CF ","Villarreal CF","37","37","23,1","12","88,60 Mill. €","2,39 Mill. €",2014
"109","Málaga CF ","Málaga CF","30","30","25,6","18","62,35 Mill. €","2,08 Mill. €",2014
"110","Granada CF ","Granada CF","39","39","24,4","21","60,98 Mill. €","1,56 Mill. €",2014
"111","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","31","31","24,6","6","55,10 Mill. €","1,78 Mill. €",2014
"112","Rayo Vallecano ","Rayo Vallecano","29","29","25,7","12","52,60 Mill. €","1,81 Mill. €",2014
"113","Deportivo de La Coruna  ","Deportivo de La Coruna","33","33","25,5","12","48,60 Mill. €","1,47 Mill. €",2014
"114","Getafe CF ","Getafe CF","34","34","25,1","9","48,15 Mill. €","1,42 Mill. €",2014
"115","Levante UD ","Levante UD","31","31","26,8","10","47,10 Mill. €","1,52 Mill. €",2014
"116","Córdoba CF  ","Córdoba CF","36","36","24,8","15","44,70 Mill. €","1,24 Mill. €",2014
"117","Celta de Vigo ","Celta de Vigo","28","28","23,3","10","39,40 Mill. €","1,41 Mill. €",2014
"118","Elche CF ","Elche CF","29","29","24,7","8","31,38 Mill. €","1,08 Mill. €",2014
"119","UD Almería ","UD Almería","31","31","24,1","11","25,10 Mill. €","810 Th. €",2014
"120","SD Eibar  ","SD Eibar","25","25","27,3","3","21,10 Mill. €","844 Th. €",2014
"121","Real Madrid ","Real Madrid","30","30","23,8","17","700,75 Mill. €","23,36 Mill. €",2015
"122","FC Barcelona ","FC Barcelona","32","32","24,9","15","618,50 Mill. €","19,33 Mill. €",2015
"123","Atlético Madrid ","Atlético Madrid","30","30","24,4","17","336,00 Mill. €","11,20 Mill. €",2015
"124","Valencia CF ","Valencia CF","38","38","22,7","20","254,50 Mill. €","6,70 Mill. €",2015
"125","Sevilla FC ","Sevilla FC","38","38","24,8","19","186,50 Mill. €","4,91 Mill. €",2015
"126","Athletic Bilbao ","Athletic Bilbao","28","28","26,0","1","122,90 Mill. €","4,39 Mill. €",2015
"127","Real Sociedad ","Real Sociedad","32","32","24,6","6","122,25 Mill. €","3,82 Mill. €",2015
"128","Villarreal CF ","Villarreal CF","28","28","24,4","10","115,30 Mill. €","4,12 Mill. €",2015
"129","Málaga CF ","Málaga CF","33","33","26,0","23","78,20 Mill. €","2,37 Mill. €",2015
"130","Granada CF ","Granada CF","33","33","24,9","19","73,20 Mill. €","2,22 Mill. €",2015
"131","Real Betis Balompié  ","Real Betis Balompié","33","33","25,9","14","72,45 Mill. €","2,20 Mill. €",2015
"132","Levante UD ","Levante UD","31","31","26,3","10","68,20 Mill. €","2,20 Mill. €",2015
"133","Celta de Vigo ","Celta de Vigo","28","28","23,6","12","63,80 Mill. €","2,28 Mill. €",2015
"134","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","33","33","24,1","9","61,70 Mill. €","1,87 Mill. €",2015
"135","Getafe CF ","Getafe CF","31","31","24,7","13","55,15 Mill. €","1,78 Mill. €",2015
"136","Rayo Vallecano ","Rayo Vallecano","35","35","27,0","14","53,80 Mill. €","1,54 Mill. €",2015
"137","Deportivo de La Coruna ","Deportivo de La Coruna","30","30","27,4","11","51,35 Mill. €","1,71 Mill. €",2015
"138","SD Eibar ","SD Eibar","35","35","24,8","9","45,95 Mill. €","1,31 Mill. €",2015
"139","Sporting Gijón  ","Sporting Gijón","29","29","23,8","7","30,50 Mill. €","1,05 Mill. €",2015
"140","UD Las Palmas  ","UD Las Palmas","33","33","26,2","7","29,25 Mill. €","886 Th. €",2015
"141","FC Barcelona ","FC Barcelona","37","37","24,7","18","787,20 Mill. €","21,28 Mill. €",2016
"142","Real Madrid ","Real Madrid","33","33","24,2","18","743,10 Mill. €","22,52 Mill. €",2016
"143","Atlético Madrid ","Atlético Madrid","47","47","23,3","31","456,70 Mill. €","9,72 Mill. €",2016
"144","Valencia CF ","Valencia CF","40","40","24,0","18","286,40 Mill. €","7,16 Mill. €",2016
"145","Sevilla FC ","Sevilla FC","40","40","24,4","24","236,40 Mill. €","5,91 Mill. €",2016
"146","Villarreal CF ","Villarreal CF","39","39","24,3","15","158,70 Mill. €","4,07 Mill. €",2016
"147","Athletic Bilbao ","Athletic Bilbao","35","35","25,1","1","151,60 Mill. €","4,33 Mill. €",2016
"148","Real Sociedad ","Real Sociedad","34","34","24,5","5","110,50 Mill. €","3,25 Mill. €",2016
"149","Celta de Vigo ","Celta de Vigo","32","32","24,5","15","95,50 Mill. €","2,98 Mill. €",2016
"150","Deportivo de La Coruna ","Deportivo de La Coruna","37","37","25,8","16","92,80 Mill. €","2,51 Mill. €",2016
"151","Granada CF ","Granada CF","43","43","24,1","30","85,50 Mill. €","1,99 Mill. €",2016
"152","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","35","35","25,8","10","84,70 Mill. €","2,42 Mill. €",2016
"153","Málaga CF ","Málaga CF","36","36","24,9","19","80,60 Mill. €","2,24 Mill. €",2016
"154","Real Betis Balompié ","Real Betis Balompié","31","31","25,4","14","76,80 Mill. €","2,48 Mill. €",2016
"155","UD Las Palmas ","UD Las Palmas","33","33","25,7","9","55,90 Mill. €","1,69 Mill. €",2016
"156","SD Eibar ","SD Eibar","38","38","24,3","6","52,10 Mill. €","1,37 Mill. €",2016
"157","Sporting Gijón ","Sporting Gijón","33","33","24,7","9","50,50 Mill. €","1,53 Mill. €",2016
"158","CD Leganés  ","CD Leganés","37","37","25,2","11","47,30 Mill. €","1,28 Mill. €",2016
"159","Deportivo Alavés  ","Deportivo Alavés","30","30","24,4","11","39,80 Mill. €","1,33 Mill. €",2016
"160","CA Osasuna  ","CA Osasuna","37","37","24,5","9","36,90 Mill. €","997 Th. €",2016
"161","FC Barcelona ","FC Barcelona","26","26","25,4","15","725,70 Mill. €","27,91 Mill. €",2017
"162","Real Madrid ","Real Madrid","32","32","23,5","15","716,20 Mill. €","22,38 Mill. €",2017
"163","Atlético Madrid ","Atlético Madrid","36","36","24,4","19","585,00 Mill. €","16,25 Mill. €",2017
"164","Sevilla FC ","Sevilla FC","33","33","25,5","20","269,45 Mill. €","8,17 Mill. €",2017
"165","Valencia CF ","Valencia CF","30","30","23,3","14","230,90 Mill. €","7,70 Mill. €",2017
"166","Villarreal CF ","Villarreal CF","40","40","24,4","15","196,70 Mill. €","4,92 Mill. €",2017
"167","Athletic Bilbao ","Athletic Bilbao","33","33","25,0","1","188,50 Mill. €","5,71 Mill. €",2017
"168","Real Sociedad ","Real Sociedad","30","30","25,2","6","165,10 Mill. €","5,50 Mill. €",2017
"169","UD Las Palmas ","UD Las Palmas","38","38","25,9","15","123,00 Mill. €","3,24 Mill. €",2017
"170","Celta de Vigo ","Celta de Vigo","32","32","23,5","16","114,65 Mill. €","3,58 Mill. €",2017
"171","Real Betis Balompié ","Real Betis Balompié","31","31","24,9","9","96,55 Mill. €","3,11 Mill. €",2017
"172","Deportivo de La Coruna ","Deportivo de La Coruna","36","36","25,8","18","89,40 Mill. €","2,48 Mill. €",2017
"173","Málaga CF ","Málaga CF","40","40","24,8","17","88,43 Mill. €","2,21 Mill. €",2017
"174","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","29","29","26,4","7","85,45 Mill. €","2,95 Mill. €",2017
"175","SD Eibar ","SD Eibar","33","33","25,9","9","71,75 Mill. €","2,17 Mill. €",2017
"176","Deportivo Alavés ","Deportivo Alavés","33","33","24,1","11","64,85 Mill. €","1,97 Mill. €",2017
"177","Levante UD  ","Levante UD","37","37","24,3","15","59,35 Mill. €","1,60 Mill. €",2017
"178","CD Leganés ","CD Leganés","27","27","27,3","13","53,60 Mill. €","1,99 Mill. €",2017
"179","Getafe CF  ","Getafe CF","37","37","25,5","19","48,75 Mill. €","1,32 Mill. €",2017
"180","Girona FC  ","Girona FC","30","30","24,4","13","35,60 Mill. €","1,19 Mill. €",2017
"181","FC Barcelona ","FC Barcelona","23","23","26,7","15","1,14 Bill. €","49,72 Mill. €",2018
"182","Real Madrid ","Real Madrid","24","24","26,4","12","969,00 Mill. €","40,38 Mill. €",2018
"183","Atlético Madrid ","Atlético Madrid","20","20","27,1","13","807,00 Mill. €","40,35 Mill. €",2018
"184","Valencia CF ","Valencia CF","22","22","25,8","14","424,00 Mill. €","19,27 Mill. €",2018
"185","Sevilla FC ","Sevilla FC","23","23","27,6","14","238,50 Mill. €","10,37 Mill. €",2018
"186","Athletic Bilbao ","Athletic Bilbao","25","25","27,3","1","202,80 Mill. €","8,11 Mill. €",2018
"187","Real Sociedad ","Real Sociedad","24","24","25,4","6","201,80 Mill. €","8,41 Mill. €",2018
"188","Villarreal CF ","Villarreal CF","25","25","28,6","9","196,10 Mill. €","7,84 Mill. €",2018
"189","Real Betis Balompié ","Real Betis Balompié","21","21","27,6","9","180,50 Mill. €","8,60 Mill. €",2018
"190","Celta de Vigo ","Celta de Vigo","24","24","25,4","14","168,60 Mill. €","7,03 Mill. €",2018
"191","CD Leganés ","CD Leganés","28","28","26,8","13","85,70 Mill. €","3,06 Mill. €",2018
"192","Girona FC ","Girona FC","21","21","27,0","8","80,30 Mill. €","3,82 Mill. €",2018
"193","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","22","22","27,8","6","79,90 Mill. €","3,63 Mill. €",2018
"194","Getafe CF ","Getafe CF","23","23","27,4","11","78,40 Mill. €","3,41 Mill. €",2018
"195","Levante UD ","Levante UD","26","26","26,5","9","71,70 Mill. €","2,76 Mill. €",2018
"196","Deportivo Alavés ","Deportivo Alavés","24","24","26,0","8","59,40 Mill. €","2,48 Mill. €",2018
"197","Rayo Vallecano  ","Rayo Vallecano","26","26","27,4","10","51,30 Mill. €","1,97 Mill. €",2018
"198","SD Eibar ","SD Eibar","23","23","28,3","7","49,20 Mill. €","2,14 Mill. €",2018
"199","SD Huesca  ","SD Huesca","24","24","28,4","11","34,50 Mill. €","1,44 Mill. €",2018
"200","Real Valladolid CF  ","Real Valladolid CF","24","24","26,9","5","31,10 Mill. €","1,30 Mill. €",2018
